City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Luderitz,NA,-26.6481,15.1594,65.41,70,1,10.71,clear sky
80,Chuy,UY,-33.6971,-53.4616,58.24,92,100,14.94,overcast clouds
81,Puerto Cabezas,NI,14.0351,-83.3888,77.04,88,100,3.22,overcast clouds
82,Khani,GE,41.9563,42.9566,63.97,59,85,4.47,overcast clouds
83,Kahului,US,20.8947,-156.47,78.84,72,0,11.5,clear sky
84,East London,ZA,-33.0153,27.9116,68.94,88,0,2.3,clear sky
85,Tucuman,AR,-26.8241,-65.2226,62.6,88,100,5.75,overcast clouds
86,Yellowknife,CA,62.456,-114.3525,32.56,86,40,13.8,scattered clouds
87,Nemuro,JP,43.3236,145.575,60.22,87,100,17.98,overcast clouds
88,San Pedro,PH,14.35,121.0167,85.32,78,75,10.36,broken clouds
89,Provideniya,RU,64.3833,-173.3,28.63,79,100,6.67,overcast clouds
90,Faya,SA,18.3851,42.4509,71.71,16,1,5.59,clear sky
91,Tsibanobalka,RU,44.9803,37.3438,57.16,67,20,18.01,few clouds
92,Codrington,AU,-38.2667,141.9667,52.48,75,50,10.16,scattered clouds
93,Topolobampo,MX,25.6,-109.05,73.96,70,0,8.1,clear sky
94,Georgetown,MY,5.4112,100.3354,89.53,71,20,9.22,few clouds
95,Flinders,AU,-34.5833,150.8552,62.38,78,90,5.84,overcast clouds
96,Del Rio,US,29.3627,-100.8968,70.2,88,100,11.5,overcast clouds
97,Viedma,AR,-40.8135,-62.9967,48.49,81,20,5.93,few clouds
98,Innisfail,AU,-17.5333,146.0333,77.58,72,16,4.59,few clouds
99,Barpeta,IN,26.3167,91.0,86.14,61,5,3.47,clear sky
100,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,8.05,broken clouds
101,Salalah,OM,17.0151,54.0924,89.69,33,75,5.75,broken clouds
102,Hervey Bay,AU,-25.2986,152.8535,68.02,88,100,8.99,light rain
103,Hobart,AU,-42.8794,147.3294,52.27,76,75,12.66,broken clouds
104,Vrbove,SK,48.6197,17.7226,64.98,78,0,9.15,clear sky
105,San Patricio,US,28.017,-97.5169,80.49,83,87,4.83,overcast clouds
106,Touros,BR,-5.1989,-35.4608,76.89,79,82,15.37,broken clouds
107,Tiksi,RU,71.6872,128.8694,17.96,89,100,19.62,overcast clouds
108,Tsiroanomandidy,MG,-18.7667,46.0333,87.58,28,6,3.13,clear sky
109,Kyzyl-Suu,KG,42.3414,78.0056,58.66,34,100,5.3,overcast clouds
110,Bengkulu,ID,-3.8004,102.2655,81.34,76,93,5.06,overcast clouds
111,Saint-Augustin,CA,51.226,-58.6502,49.35,94,100,17.05,light rain
112,Kushima,JP,31.4583,131.2333,70.5,96,100,5.17,moderate rain
113,San Luis,AR,-33.295,-66.3356,60.12,53,100,7.87,overcast clouds
114,Kasongo-Lunda,CD,-6.4667,16.8167,83.23,62,47,2.28,scattered clouds
115,Am Timan,TD,11.0297,20.2827,85.23,59,71,4.38,broken clouds
116,Atuona,PF,-9.8,-139.0333,76.5,74,20,12.48,few clouds
117,San Juan,AR,-31.5375,-68.5364,64.11,51,7,17.07,clear sky
118,Sitka,US,57.0531,-135.33,55.29,88,100,3.44,overcast clouds
119,Podor,MR,16.6527,-14.9587,84.15,65,0,2.3,clear sky
120,Ito,JP,34.9667,139.0833,72.34,89,100,11.27,overcast clouds
121,Klaksvik,FO,62.2266,-6.589,47.32,88,87,26.93,overcast clouds
122,Vaini,TO,-21.2,-175.2,75.36,100,20,4.61,few clouds
123,Salinas,US,36.6777,-121.6555,57.29,79,0,6.91,clear sky
124,Santa Luzia,BR,-19.7697,-43.8514,66.54,52,0,6.91,clear sky
125,Guipavas,FR,48.4352,-4.3972,57.36,96,0,5.75,clear sky
126,Constantine,DZ,36.365,6.6147,65.61,63,0,1.14,clear sky
127,Port Alfred,ZA,-33.5906,26.891,76.17,77,97,5.99,overcast clouds
128,Carutapera,BR,-1.195,-46.02,78.44,81,30,7.23,scattered clouds
129,Kodiak,US,57.79,-152.4072,47.71,81,75,10.36,broken clouds
130,Ostrovnoy,RU,68.0531,39.5131,46.83,94,100,13.96,light rain
131,Laguna,US,38.421,-121.4238,60.78,83,0,4.61,clear sky
132,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,18,14.58,light rain
133,Xuzhou,CN,34.1805,117.1571,64.98,19,0,12.44,clear sky
134,Likasi,CD,-10.9814,26.7333,83.03,25,3,5.95,clear sky
135,Linxia,CN,35.6003,103.2064,59.22,29,6,4.43,clear sky
136,Hermanus,ZA,-34.4187,19.2345,67.8,71,0,14.2,clear sky
137,Svetlogorsk,BY,52.6333,29.7333,50.52,62,75,10.56,broken clouds
138,Husainabad,IN,24.5333,84.0167,85.3,53,2,4.59,clear sky
139,Jumla,NP,29.2747,82.1838,67.32,33,0,6.55,clear sky
140,Coos Bay,US,43.3665,-124.2179,57.92,97,100,6.91,overcast clouds
141,Axim,GH,4.8699,-2.2405,79.09,80,95,3.11,light rain
142,Mangai,CD,-4.05,19.5333,83.86,60,27,2.46,scattered clouds
143,Mont-De-Marsan,FR,44.0,-0.6667,65.1,100,100,0.0,light rain
144,Aswan,EG,24.0934,32.907,79.9,31,0,14.97,clear sky
145,Komsomolskiy,UZ,40.4272,71.7189,72.32,28,100,6.91,overcast clouds
146,Quatre Cocos,MU,-20.2078,57.7625,76.08,68,36,13.24,scattered clouds
147,Camopi,GF,3.1655,-52.3158,70.84,100,39,1.41,scattered clouds
148,Coahuayana,MX,18.7333,-103.6833,77.11,91,100,3.2,overcast clouds
149,Souillac,MU,-20.5167,57.5167,71.98,83,75,11.5,light intensity shower rain
150,Sattenapalle,IN,16.4,80.1833,86.5,68,88,5.57,overcast clouds
151,Avarua,CK,-21.2078,-159.775,75.25,78,75,9.22,broken clouds
152,Kiruna,SE,67.8557,20.2251,32.92,86,0,3.44,clear sky
153,Tuxpan,MX,19.55,-103.4,66.02,97,96,1.14,light rain
154,Airai,TL,-8.9266,125.4092,68.41,77,100,2.93,overcast clouds
155,Wanning,CN,18.8003,110.3967,81.1,60,100,12.71,overcast clouds
156,Beira,MZ,-19.8436,34.8389,82.49,74,40,3.44,scattered clouds
157,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,2.3,overcast clouds
158,Hluti,SZ,-27.2167,31.6167,79.83,45,58,6.33,broken clouds
159,Tanda,IN,26.55,82.65,84.69,51,1,7.56,clear sky
160,Dakar,SN,14.6937,-17.4441,79.68,71,100,12.53,overcast clouds
161,Rumoi,JP,43.9344,141.6428,47.64,83,100,15.68,overcast clouds
162,Canton,CN,23.1167,113.25,85.95,30,100,17.0,overcast clouds
163,Jamestown,US,42.097,-79.2353,47.84,90,100,5.75,overcast clouds
164,Hasaki,JP,35.7333,140.8333,72.28,88,100,11.07,overcast clouds
